№,Наш Санкт-Петербург,Народная экспертиза,Управляем вместе,Краудсорсинговая платформа Правительства Москвы
1,проблема (5354),ленинградской (1313),проблема (1731),это (353)
2,уважаемый (3880),области (1235),день (1705),парк (324)
3,пользователь (3846),проблема (1185),добрый (1610),очень (228)
4,адресу (2576),обращение (984),работы (1139),деревьев (205)
5,ваше (2345),территории (935),ул (972),наталья (185)
6,сообщаем (2312),работы (841),территории (877),идеи (181)
7,№ (2304),дороги (832),обращение (875),города (164)
8,приложение (2240),ваше (700),устранения (730),добрый (156)
9,фотофиксация (2165),соответствии (607),спасибо (712),природы (155)
10,работы (1874),муниципального (595),дата (698),спасибо (147)
11,дом (1677),земельного (590),планируемая (695),москвы (145)
12,дома (1571),№ (583),дороги (678),время (140)
13,вопросу (1489),ул (564),дома (614),территории (140)
14,рассмотрев (1419),работ (494),уважаемый (595),деревья (135)
15,сообщение (1394),сообщаем (488),района (486),елена (124)
16,выполнены (1388),связи (487),пермь (473),лес (124)
17,состояние (1280),уважаемый (478),снега (456),также (121)
18,следующее (1243),день (471),выполнены (455),можете (119)
19,санктпетербурга (1226),отходов (451),работ (443),татьяна (119)
20,обращение (1216),прошу (446) ,го (441),день (111)
21,литера (1204),участка (446),мусор (418),экологии (106)
22,мусор (1130),года (444),здравствуйте (410),парке (104)
23,устранены (1013),района (443),снег (376),александра (103)
24,надписи (986),мо (422),улица (373),crowdspace (102)
25,устранена (891),здравствуйте (412),ук (353),которые (102)
26,соответствии (806),земель (412),мусора (351),среды (102)
27,улица (785),также (411),находится (348),анна (100)
28,объявления (736),уважаемая (398),территория (348),парка (100)
29,сообщает (715),добрый (394),срок (346),проекта (98)
30,парадной (694),дорога (393),части (343),здравствуйте (97)
31,ул (692),рамках (392),состоянии (332),москве (96)
32,дорожного (673),– (391),№ (323),оопт (96)
33,ответ (656),адресу (385),направлено (303),городе (95)
34,территории (650),§§ (376),администрацией (301),ксения (95)
35,расположенного (641),время (371),время (300),место (95)
36,прошу (640),участке (361),проезжей (300),предлагай (95)
37,замечание (604),направлено (346),состояние (291),жителей (87)
38,корпус (600),российской (336),адресу (282),ирина (87)
39,ооо (588),требований (336),связи (277),вячеслав (83)
40,уборки (574),выполнены (331),придомовой (275),свои (82)
41,фото (573),дорожного (329),адрес (271),просто (80)
42,акт (553),организации (329),ооо (263),именно (78)
43,состоянии (548),далее (324),администрации (261),комментарий (77)
44,устранено (543),ооо (320),прошу (253),природные (77)
45,парадная (530),ответ (319),дорога (251),какие (75)
46,граффити (519),государственного (314),города (249),будут (73)
47,здания (503),дороге (314),нормативное (249),плещенко (73)
48,освещения (503),2020 (304),сообщаем (248),нужно (72)
49,фасаде (503),мер (303),тротуаре (246),парки (72)
50,доме (498),дома (296),перми (244),отдыха (70)
